url,written,written_human_readable
https://radosgw.public.os.wwu.de/ta3-bucket/150715_DBE_Drosi_CherryCAAX_nSybGal4/L3_nsybG4xcherryCAAXmerged.ims.zarr,2217337815,2.1G
https://radosgw.public.os.wwu.de/ta3-bucket/150421_DBE_L3_C155xCherryDlgS97/stiched_1.ims.zarr,4846235826,4.6G
https://radosgw.public.os.wwu.de/ta3-bucket/2014_07_04_Drosi_hole_larve_GFP/Larve_2_20x095_Z1_4096_BAPP_with_cslip.lif.zarr,1631354605,1.6G
https://radosgw.public.os.wwu.de/ta3-bucket/2014_07_04_Drosi_hole_larve_GFP/Larve_2_20x095_Z2_2048_BAPP_wo_cslip.lif.zarr,1127129565,1.1G
https://radosgw.public.os.wwu.de/ta3-bucket/150709_DBE_Drosi_CherryCAAX_OK371/DBE_Drosi_L3_OK371xcherryCAAX_merged.ims.zarr,5541964433,5.2G
https://radosgw.public.os.wwu.de/ta3-bucket/140721_Drosi_whole_larve_BABB/Drosi_holeLarve_20x095_2048_Z1.lif.zarr,29151733841,28G
https://radosgw.public.os.wwu.de/ta3-bucket/Larvae_2_10x_Z1_25_2048.lif.zarr,9860876320,9.2G
https://radosgw.public.os.wwu.de/ta3-bucket/Drosi_Larvae_Tiles_2.lif.zarr,9731243347,9.1G
https://radosgw.public.os.wwu.de/ta3-bucket/a114.zarr,37860247330,36G
https://radosgw.public.os.wwu.de/ta3-bucket/a115.zarr,35816681857,34G
